infinitive,frequency
ser,1 091 994
haber,615 906
tener,279 620
poder,272 323
estar,255 877
hacer,199 703
decir,108 335
ir,107 795
dar,97 475
deber,88 869
ver,86 535
pasar,73 121
realizar,65 047
encontrar,61 443
querer,58 130
llegar,56 788
poner,55 846
llevar,54 297
seguir,52 458
saber,51 771
conocer,48 496
crear,46 249
presentar,43 252
permitir,43 180
dejar,41 834
tratar,39 178
parecer,38 947
ofrecer,38 281
contar,37 323
quedar,37 252
utilizar,35 223
conseguir,32 984
trabajar,31 998
incluir,31 431
desarrollar,30 493
hablar,29 282
salir,28 585
volver,28 474
llamar,28 372
recibir,28 204
destacar,27 836
existir,27 719
mostrar,26 691
producir,26 681
abrir,26 195
esperar,26 127
considerar,26 113
vivir,26 060
mantener,25 994
pensar,25 887
partir,25 280
venir,24 860
comenzar,24 822
tomar,24 453
formar,24 121
suponer,23 995
escribir,23 317
explicar,23 155
obtener,22 685
perder,22 146
pesar,22 003
jugar,21 825
participar,21 755
convertir,21 454
empezar,21 439
publicar,21 285
buscar,21 205
aparecer,21 105
acabar,20 306
ganar,20 246
celebrar,20 210
a?adir,19 772
dirigir,19 736
disponer,19 724
recordar,19 363
necesitar,18 949
entrar,18 767
establecer,18 563
servir,18 432
gustar,18 246
resultar,18 212
asegurar,18 180
dedicar,18 174
decidir,17 886
mejorar,17 874
cambiar,17 399
intentar,17 333
usar,17 022
relacionar,16 922
se?alar,16 754
lograr,16 690
situar,16 471
pedir,16 186
reconocer,16 094
alcanzar,16 088
organizar,16 062
indicar,15 927
determinar,15 853
creer,15 590
reducir,15 465
ayudar,15 308
evitar,15 145
nacer,15 085
entender,14 387
estudiar,14 377
elegir,14 231
terminar,14 188
afectar,14 088
aumentar,14 080
proponer,14 004
representar,13 978
demostrar,13 847
pretender,13 836
cumplir,13 690
recoger,13 484
disfrutar,13 484
analizar,13 480
sufrir,13 306
leer,13 278
continuar,13 269
ocurrir,13 181
basar,13 095
desear,13 015
soler,12 364
afirmar,12 354
iniciar,12 303
marcar,12 269
constituir,12 158
construir,12 152
preparar,12 043
generar,11 939
facilitar,11 918
superar,11 866
ocupar,11 861
aplicar,11 831
acompa?ar,11 801
aportar,11 736
acercar,11 692
sentir,11 626
informar,11 542
pagar,11 372
descubrir,11 332
cerrar,11 318
aprender,11 301
contener,11 227
adecuar,11 215
compartir,11 126
enviar,11 088
sacar,11 053
elaborar,11 023
prever,10 857
morir,10 842
comprar,10 741
provocar,10 510
caer,10 463
privar,10 331
plantear,10 328
mirar,10 122
responder,10 094
interesar,10 083
referir,10 074
proporcionar,10 037
definir,9 990
comentar,9 894
unir,9 846
visitar,9 791
adquirir,9 755
observar,9 721
funcionar,9 705
elevar,9 562
acceder,9 560
destinar,9 448
actuar,9 394
incorporar,9 342
integrar,9 312
depender,9 309
cubrir,9 308
solicitar,9 277
crecer,9 269
requerir,9 231
tocar,9 148
vender,9 118
anunciar,9 107
avanzar,9 070
subir,8 981
comer,8 895
aprobar,8 885
garantizar,8 861
preguntar,8 804
aprovechar,8 745
centrar,8 633
faltar,8 590
obligar,8 553
componer,8 526
olvidar,8 476
acudir,8 443
contribuir,8 417
introducir,8 337
colocar,8 332
firmar,8 282
